name,peak_ws_mb,secs,verdict
Modelica.Blocks.Continuous.CriticalDamping,937,4.5,ok
Modelica.Blocks.Continuous.Der,1077,4.5,ok
Modelica.Blocks.Continuous.Derivative,1219,6.5,ok
Modelica.Blocks.Continuous.Filter,1188,6.5,ok
Modelica.Blocks.Continuous.FirstOrder,1260,6.6,ok
Modelica.Blocks.Continuous.Integrator,1243,6.5,ok
Modelica.Blocks.Continuous.LimIntegrator,969,6.4,ok
Modelica.Blocks.Continuous.LimPID,1200,6.5,ok
Modelica.Blocks.Continuous.LowpassButterworth,1213,6.5,ok
Modelica.Blocks.Continuous.PI,1221,6.5,ok
Modelica.Blocks.Continuous.PID,1195,6.5,ok
Modelica.Blocks.Continuous.SecondOrder,1268,6.5,ok
Modelica.Blocks.Continuous.StateSpace,1229,8.7,ok
Modelica.Blocks.Continuous.TransferFunction,1191,8.7,ok
Modelica.Blocks.Discrete.FirstOrderHold,1283,6.5,ok
Modelica.Blocks.Discrete.Sampler,1264,6.5,ok
Modelica.Blocks.Discrete.StateSpace,1183,8.7,ok
Modelica.Blocks.Discrete.TransferFunction,1195,6.5,ok
Modelica.Blocks.Discrete.TriggeredMax,951,4.5,ok
Modelica.Blocks.Discrete.TriggeredSampler,1054,4.5,ok
Modelica.Blocks.Discrete.UnitDelay,1069,4.5,ok
Modelica.Blocks.Discrete.ZeroOrderHold,1073,4.5,ok
Modelica.Blocks.Examples.BooleanNetwork1,1292,6.5,ok
Modelica.Blocks.Examples.BusUsage,956,4.5,ok
Modelica.Blocks.Examples.BusUsage_Utilities.Part,853,4.3,ok
Modelica.Blocks.Examples.CompareSincExpSine,860,4.5,ok
Modelica.Blocks.Examples.DemoSignalCharacteristic,1213,6.5,ok
Modelica.Blocks.Examples.DemonstrateContinuousSignalExtrema,890,4.5,ok
Modelica.Blocks.Examples.DemonstrateSignalExtrema,1091,4.5,ok
Modelica.Blocks.Examples.Filter,1310,6.5,ok
Modelica.Blocks.Examples.FilterWithDifferentiation,978,6.5,ok
Modelica.Blocks.Examples.FilterWithRiseTime,1231,6.4,ok
Modelica.Blocks.Examples.IntegerNetwork1,881,4.5,ok
Modelica.Blocks.Examples.Interaction1,1135,6.7,ok
Modelica.Blocks.Examples.InverseModel,942,4.5,ok
Modelica.Blocks.Examples.LogicalNetwork1,1206,6.5,ok
Modelica.Blocks.Examples.Modulation,858,4.5,ok
Modelica.Blocks.Examples.Noise.ActuatorWithNoise,1622,26.6,ok
Modelica.Blocks.Examples.Noise.AutomaticSeed,1056,6.5,ok
Modelica.Blocks.Examples.Noise.Densities,1077,4.5,ok
Modelica.Blocks.Examples.Noise.Distributions,929,6.5,ok
Modelica.Blocks.Examples.Noise.DrydenContinuousTurbulence,1190,6.5,ok
Modelica.Blocks.Examples.Noise.ImpureGenerator,1068,4.5,ok
Modelica.Blocks.Examples.Noise.NormalNoiseProperties,986,4.5,ok
Modelica.Blocks.Examples.Noise.UniformNoise,970,4.5,ok
Modelica.Blocks.Examples.Noise.UniformNoiseProperties,865,4.5,ok
Modelica.Blocks.Examples.Noise.Utilities.ImpureRandom,866,4.5,ok
Modelica.Blocks.Examples.Noise.Utilities.NormalDensity,856,4.5,ok
Modelica.Blocks.Examples.Noise.Utilities.Parts.Controller,938,4.4,ok
Modelica.Blocks.Examples.Noise.Utilities.Parts.MotorWithCurrentControl,1501,15.5,ok
Modelica.Blocks.Examples.Noise.Utilities.UniformDensity,1036,4.6,ok
Modelica.Blocks.Examples.Noise.Utilities.WeibullDensity,974,4.5,ok
Modelica.Blocks.Examples.PID_Controller,1198,8.9,ok
Modelica.Blocks.Examples.RealNetwork1,1190,6.5,ok
Modelica.Blocks.Examples.Rectifier12pulseFFT,2680,208.6,ok
Modelica.Blocks.Examples.Rectifier6pulseFFT,2459,157.3,ok
Modelica.Blocks.Examples.ShowLogicalSources,1281,6.5,ok
Modelica.Blocks.Examples.SinCosEncoder,933,6.5,ok
Modelica.Blocks.Examples.SlewRateLimiter,949,4.6,ok
Modelica.Blocks.Examples.TotalHarmonicDistortion,1146,6.8,ok
Modelica.Blocks.Icons.Block,938,4.5,ok
Modelica.Blocks.Icons.BooleanBlock,858,4.5,ok
Modelica.Blocks.Icons.DiscreteBlock,976,4.6,ok
Modelica.Blocks.Icons.IntegerBlock,1044,4.5,ok
Modelica.Blocks.Icons.PartialBooleanBlock,963,4.5,ok
Modelica.Blocks.Interaction.Show.BooleanValue,958,4.5,ok
Modelica.Blocks.Interaction.Show.IntegerValue,1035,4.5,ok
Modelica.Blocks.Interaction.Show.RealValue,1028,4.5,ok
Modelica.Blocks.Interfaces.Adaptors.FlowToPotentialAdaptor,853,4.5,ok
Modelica.Blocks.Interfaces.Adaptors.PotentialToFlowAdaptor,1084,4.6,ok
Modelica.Blocks.Interfaces.BooleanMIMOs,1039,4.5,ok
Modelica.Blocks.Interfaces.BooleanSISO,1015,4.5,ok
Modelica.Blocks.Interfaces.BooleanSignalSource,1068,4.5,ok
Modelica.Blocks.Interfaces.DiscreteBlock,997,4.5,ok
Modelica.Blocks.Interfaces.DiscreteMIMO,1035,4.5,ok
Modelica.Blocks.Interfaces.DiscreteMIMOs,1002,4.5,ok
Modelica.Blocks.Interfaces.DiscreteSISO,1026,4.5,ok
Modelica.Blocks.Interfaces.IntegerMIBooleanMOs,973,4.5,ok
Modelica.Blocks.Interfaces.IntegerMO,1001,4.5,ok
Modelica.Blocks.Interfaces.IntegerSIBooleanSO,1023,4.5,ok
Modelica.Blocks.Interfaces.IntegerSO,1013,4.5,ok
Modelica.Blocks.Interfaces.IntegerSignalSource,994,4.5,ok
Modelica.Blocks.Interfaces.MI2BooleanMOs,963,4.5,ok
Modelica.Blocks.Interfaces.MI2MO,944,6.4,ok
Modelica.Blocks.Interfaces.MIMO,911,4.5,ok
Modelica.Blocks.Interfaces.MIMOs,1008,4.5,ok
Modelica.Blocks.Interfaces.MISO,901,4.5,ok
Modelica.Blocks.Interfaces.MO,1071,4.5,ok
Modelica.Blocks.Interfaces.MVcontrol,1060,4.5,ok
Modelica.Blocks.Interfaces.MVdiscrete,1012,4.5,ok
Modelica.Blocks.Interfaces.PartialBooleanMISO,1007,4.5,ok
Modelica.Blocks.Interfaces.PartialBooleanSISO_small,939,4.5,ok
Modelica.Blocks.Interfaces.PartialConversionBlock,1001,4.5,ok
Modelica.Blocks.Interfaces.PartialIntegerMISO,1024,4.5,ok
Modelica.Blocks.Interfaces.PartialIntegerSISO,1025,4.5,ok
Modelica.Blocks.Interfaces.PartialNoise,1010,6.5,ok
Modelica.Blocks.Interfaces.PartialRealMISO,983,4.5,ok
Modelica.Blocks.Interfaces.SI2BooleanSO,941,4.4,ok
Modelica.Blocks.Interfaces.SI2SO,1040,4.5,ok
Modelica.Blocks.Interfaces.SIMO,1028,4.5,ok
Modelica.Blocks.Interfaces.SISO,1044,4.5,ok
