name,kind,outcome,message,checks_failed,n_violations
Modelica.Blocks.Continuous.CriticalDamping,Component,ok,,,0
Modelica.Blocks.Continuous.Der,Component,ok,,,0
Modelica.Blocks.Continuous.Derivative,Component,ok,,,0
Modelica.Blocks.Continuous.Filter,Component,ok,,,0
Modelica.Blocks.Continuous.FirstOrder,Component,ok,,,0
Modelica.Blocks.Continuous.Integrator,Component,ok,,,0
Modelica.Blocks.Continuous.LimIntegrator,Component,ok,,,0
Modelica.Blocks.Continuous.LimPID,Component,ok,,,0
Modelica.Blocks.Continuous.LowpassButterworth,Component,ok,,,0
Modelica.Blocks.Continuous.PI,Component,ok,,,0
Modelica.Blocks.Continuous.PID,Component,ok,,,0
Modelica.Blocks.Continuous.SecondOrder,Component,ok,,,0
Modelica.Blocks.Continuous.StateSpace,Component,ok,,,0
Modelica.Blocks.Continuous.TransferFunction,Component,ok,,,0
Modelica.Blocks.Discrete.FirstOrderHold,Component,ok,,,0
Modelica.Blocks.Discrete.Sampler,Component,ok,,,0
Modelica.Blocks.Discrete.StateSpace,Component,ok,,,0
Modelica.Blocks.Discrete.TransferFunction,Component,ok,,,0
Modelica.Blocks.Discrete.TriggeredMax,Component,ok,,,0
Modelica.Blocks.Discrete.TriggeredSampler,Component,ok,,,0
Modelica.Blocks.Discrete.UnitDelay,Component,ok,,,0
Modelica.Blocks.Discrete.ZeroOrderHold,Component,ok,,,0
Modelica.Blocks.Examples.BooleanNetwork1,Examples,ok,,,0
Modelica.Blocks.Examples.BusUsage,Examples,ok,,,0
Modelica.Blocks.Examples.BusUsage_Utilities.Part,Examples,ok,,,0
Modelica.Blocks.Examples.CompareSincExpSine,Examples,ok,,,0
Modelica.Blocks.Examples.DemoSignalCharacteristic,Examples,ok,,,0
Modelica.Blocks.Examples.DemonstrateContinuousSignalExtrema,Examples,ok,,,0
Modelica.Blocks.Examples.DemonstrateSignalExtrema,Examples,ok,,,0
Modelica.Blocks.Examples.Filter,Examples,ok,,,0
Modelica.Blocks.Examples.FilterWithDifferentiation,Examples,ok,,,0
Modelica.Blocks.Examples.FilterWithRiseTime,Examples,ok,,,0
Modelica.Blocks.Examples.IntegerNetwork1,Examples,ok,,,0
Modelica.Blocks.Examples.Interaction1,Examples,ok,,,0
Modelica.Blocks.Examples.InverseModel,Examples,ok,,,0
Modelica.Blocks.Examples.LogicalNetwork1,Examples,ok,,,0
Modelica.Blocks.Examples.Modulation,Examples,ok,,,0
Modelica.Blocks.Examples.Noise.ActuatorWithNoise,Examples,ok,,,0
Modelica.Blocks.Examples.Noise.AutomaticSeed,Examples,ok,,,0
Modelica.Blocks.Examples.Noise.Densities,Examples,ok,,,0
Modelica.Blocks.Examples.Noise.Distributions,Examples,ok,,,0
Modelica.Blocks.Examples.Noise.DrydenContinuousTurbulence,Examples,ok,,,0
Modelica.Blocks.Examples.Noise.ImpureGenerator,Examples,ok,,,0
Modelica.Blocks.Examples.Noise.NormalNoiseProperties,Examples,ok,,,0
Modelica.Blocks.Examples.Noise.UniformNoise,Examples,ok,,,0
Modelica.Blocks.Examples.Noise.UniformNoiseProperties,Examples,ok,,,0
Modelica.Blocks.Examples.Noise.Utilities.ImpureRandom,Examples,ok,,,0
Modelica.Blocks.Examples.Noise.Utilities.NormalDensity,Examples,ok,,,0
Modelica.Blocks.Examples.Noise.Utilities.Parts.Controller,Examples,ok,,,0
Modelica.Blocks.Examples.Noise.Utilities.Parts.MotorWithCurrentControl,Examples,ok,,,0
Modelica.Blocks.Examples.Noise.Utilities.UniformDensity,Examples,ok,,,0
Modelica.Blocks.Examples.Noise.Utilities.WeibullDensity,Examples,ok,,,0
Modelica.Blocks.Examples.PID_Controller,Examples,ok,,,0
Modelica.Blocks.Examples.RealNetwork1,Examples,ok,,,0
Modelica.Blocks.Examples.Rectifier12pulseFFT,Examples,ok,,,0
Modelica.Blocks.Examples.Rectifier6pulseFFT,Examples,ok,,,0
Modelica.Blocks.Examples.ShowLogicalSources,Examples,ok,,,0
Modelica.Blocks.Examples.SinCosEncoder,Examples,ok,,,0
Modelica.Blocks.Examples.SlewRateLimiter,Examples,ok,,,0
Modelica.Blocks.Examples.TotalHarmonicDistortion,Examples,ok,,,0
Modelica.Blocks.Icons.Block,Icons,ok,,,0
Modelica.Blocks.Icons.BooleanBlock,Icons,ok,,,0
Modelica.Blocks.Icons.DiscreteBlock,Icons,ok,,,0
Modelica.Blocks.Icons.IntegerBlock,Icons,ok,,,0
Modelica.Blocks.Icons.PartialBooleanBlock,Icons,ok,,,0
Modelica.Blocks.Interaction.Show.BooleanValue,Component,ok,,,0
Modelica.Blocks.Interaction.Show.IntegerValue,Component,ok,,,0
Modelica.Blocks.Interaction.Show.RealValue,Component,ok,,,0
Modelica.Blocks.Interfaces.Adaptors.FlowToPotentialAdaptor,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.Adaptors.PotentialToFlowAdaptor,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.BooleanMIMOs,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.BooleanSISO,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.BooleanSignalSource,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.DiscreteBlock,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.DiscreteMIMO,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.DiscreteMIMOs,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.DiscreteSISO,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.IntegerMIBooleanMOs,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.IntegerMO,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.IntegerSIBooleanSO,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.IntegerSO,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.IntegerSignalSource,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.MI2BooleanMOs,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.MI2MO,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.MIMO,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.MIMOs,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.MISO,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.MO,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.MVcontrol,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.MVdiscrete,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.PartialBooleanMISO,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.PartialBooleanSISO_small,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.PartialConversionBlock,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.PartialIntegerMISO,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.PartialIntegerSISO,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.PartialNoise,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.PartialRealMISO,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.SI2BooleanSO,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.SI2SO,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.SIMO,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.SISO,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.SO,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.SVcontrol,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.SVdiscrete,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.SignalSource,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.partialBooleanComparison,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.partialBooleanSI,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.partialBooleanSI2SO,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.partialBooleanSI3SO,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.partialBooleanSISO,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.partialBooleanSO,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.partialBooleanSource,Interfaces,ok,,,0
Modelica.Blocks.Interfaces.partialBooleanThresholdComparison,Interfaces,ok,,,0
Modelica.Blocks.Logical.And,Component,ok,,,0
Modelica.Blocks.Logical.AssertCondition,Component,ok,,,0
Modelica.Blocks.Logical.Change,Component,ok,,,0
Modelica.Blocks.Logical.Edge,Component,ok,,,0
Modelica.Blocks.Logical.FallingEdge,Component,ok,,,0
Modelica.Blocks.Logical.Greater,Component,ok,,,0
Modelica.Blocks.Logical.GreaterEqual,Component,ok,,,0
Modelica.Blocks.Logical.GreaterEqualThreshold,Component,ok,,,0
Modelica.Blocks.Logical.GreaterThreshold,Component,ok,,,0
Modelica.Blocks.Logical.Hysteresis,Component,ok,,,0
Modelica.Blocks.Logical.Less,Component,ok,,,0
Modelica.Blocks.Logical.LessEqual,Component,ok,,,0
Modelica.Blocks.Logical.LessEqualThreshold,Component,ok,,,0
Modelica.Blocks.Logical.LessThreshold,Component,ok,,,0
Modelica.Blocks.Logical.LogicalDelay,Component,ok,,,0
Modelica.Blocks.Logical.LogicalSwitch,Component,ok,,,0
Modelica.Blocks.Logical.Nand,Component,ok,,,0
Modelica.Blocks.Logical.Nor,Component,ok,,,0
Modelica.Blocks.Logical.Not,Component,ok,,,0
Modelica.Blocks.Logical.OnOffController,Component,ok,,,0
Modelica.Blocks.Logical.Or,Component,ok,,,0
Modelica.Blocks.Logical.Pre,Component,ok,,,0
Modelica.Blocks.Logical.RSFlipFlop,Component,ok,,,0
Modelica.Blocks.Logical.Switch,Component,ok,,,0
Modelica.Blocks.Logical.TerminateSimulation,Component,ok,,,0
Modelica.Blocks.Logical.Timer,Component,ok,,,0
Modelica.Blocks.Logical.TriggeredTrapezoid,Component,ok,,,0
Modelica.Blocks.Logical.Xor,Component,ok,,,0
Modelica.Blocks.Logical.ZeroCrossing,Component,ok,,,0
Modelica.Blocks.Math.Abs,Component,ok,,,0
Modelica.Blocks.Math.Acos,Component,ok,,,0
Modelica.Blocks.Math.Add,Component,ok,,,0
Modelica.Blocks.Math.Add3,Component,ok,,,0
Modelica.Blocks.Math.Asin,Component,ok,,,0
Modelica.Blocks.Math.Atan,Component,ok,,,0
Modelica.Blocks.Math.Atan2,Component,ok,,,0
Modelica.Blocks.Math.BooleanChange,Component,ok,,,0
Modelica.Blocks.Math.BooleanToInteger,Component,ok,,,0
Modelica.Blocks.Math.BooleanToReal,Component,ok,,,0
Modelica.Blocks.Math.ContinuousMean,Component,ok,,,0
Modelica.Blocks.Math.ContinuousSignalExtrema,Component,ok,,,0
Modelica.Blocks.Math.Cos,Component,ok,,,0
Modelica.Blocks.Math.Cosh,Component,ok,,,0
Modelica.Blocks.Math.Division,Component,ok,,,0
Modelica.Blocks.Math.Edge,Component,ok,,,0
Modelica.Blocks.Math.Exp,Component,ok,,,0
Modelica.Blocks.Math.Exponentiation,Component,ok,,,0
Modelica.Blocks.Math.Feedback,Component,ok,,,0
Modelica.Blocks.Math.Gain,Component,ok,,,0
Modelica.Blocks.Math.Harmonic,Component,ok,,,0
Modelica.Blocks.Math.IntegerChange,Component,ok,,,0
Modelica.Blocks.Math.IntegerToBoolean,Component,ok,,,0
Modelica.Blocks.Math.IntegerToReal,Component,ok,,,0
Modelica.Blocks.Math.InverseBlockConstraints,Component,ok,,,0
Modelica.Blocks.Math.LinearDependency,Component,ok,,,0
Modelica.Blocks.Math.Log,Component,ok,,,0
Modelica.Blocks.Math.Log10,Component,ok,,,0
Modelica.Blocks.Math.MatrixGain,Component,ok,,,0
Modelica.Blocks.Math.Max,Component,ok,,,0
Modelica.Blocks.Math.Mean,Component,ok,,,0
Modelica.Blocks.Math.Min,Component,ok,,,0
Modelica.Blocks.Math.MinMax,Component,ok,,,0
Modelica.Blocks.Math.MultiProduct,Component,ok,,,0
Modelica.Blocks.Math.MultiSum,Component,ok,,,0
Modelica.Blocks.Math.MultiSwitch,Component,ok,,,0
Modelica.Blocks.Math.PolarToRectangular,Component,ok,,,0
Modelica.Blocks.Math.Power,Component,ok,,,0
Modelica.Blocks.Math.Product,Component,ok,,,0
Modelica.Blocks.Math.Pythagoras,Component,ok,,,0
Modelica.Blocks.Math.RealFFT,Component,ok,,,0
Modelica.Blocks.Math.RealToBoolean,Component,ok,,,0
Modelica.Blocks.Math.RealToInteger,Component,ok,,,0
Modelica.Blocks.Math.RectangularToPolar,Component,ok,,,0
Modelica.Blocks.Math.RectifiedMean,Component,ok,,,0
Modelica.Blocks.Math.RootMeanSquare,Component,ok,,,0
Modelica.Blocks.Math.Sign,Component,ok,,,0
Modelica.Blocks.Math.SignalExtrema,Component,ok,,,0
Modelica.Blocks.Math.Sin,Component,ok,,,0
Modelica.Blocks.Math.Sinh,Component,ok,,,0
Modelica.Blocks.Math.Sqrt,Component,ok,,,0
Modelica.Blocks.Math.StandardDeviation,Component,ok,,,0
Modelica.Blocks.Math.Sum,Component,ok,,,0
Modelica.Blocks.Math.Tan,Component,ok,,,0
Modelica.Blocks.Math.Tanh,Component,ok,,,0
Modelica.Blocks.Math.TotalHarmonicDistortion,Component,ok,,,0
Modelica.Blocks.Math.UnitConversions.From_bar,Component,ok,,,0
Modelica.Blocks.Math.UnitConversions.From_day,Component,ok,,,0
Modelica.Blocks.Math.UnitConversions.From_deg,Component,ok,,,0
Modelica.Blocks.Math.UnitConversions.From_degC,Component,ok,,,0
Modelica.Blocks.Math.UnitConversions.From_degF,Component,ok,,,0
Modelica.Blocks.Math.UnitConversions.From_degRk,Component,ok,,,0
Modelica.Blocks.Math.UnitConversions.From_gps,Component,ok,,,0
Modelica.Blocks.Math.UnitConversions.From_hour,Component,ok,,,0
Modelica.Blocks.Math.UnitConversions.From_kWh,Component,ok,,,0
Modelica.Blocks.Math.UnitConversions.From_kmh,Component,ok,,,0
Modelica.Blocks.Math.UnitConversions.From_litre,Component,ok,,,0
Modelica.Blocks.Math.UnitConversions.From_minute,Component,ok,,,0
Modelica.Blocks.Math.UnitConversions.From_rpm,Component,ok,,,0
Modelica.Blocks.Math.UnitConversions.To_bar,Component,ok,,,0
Modelica.Blocks.Math.UnitConversions.To_day,Component,ok,,,0
Modelica.Blocks.Math.UnitConversions.To_deg,Component,ok,,,0
Modelica.Blocks.Math.UnitConversions.To_degC,Component,ok,,,0
Modelica.Blocks.Math.UnitConversions.To_degF,Component,ok,,,0
Modelica.Blocks.Math.UnitConversions.To_degRk,Component,ok,,,0
Modelica.Blocks.Math.UnitConversions.To_gps,Component,ok,,,0
Modelica.Blocks.Math.UnitConversions.To_hour,Component,ok,,,0
Modelica.Blocks.Math.UnitConversions.To_kWh,Component,ok,,,0
Modelica.Blocks.Math.UnitConversions.To_kmh,Component,ok,,,0
Modelica.Blocks.Math.UnitConversions.To_litre,Component,ok,,,0
Modelica.Blocks.Math.UnitConversions.To_minute,Component,ok,,,0
Modelica.Blocks.Math.UnitConversions.To_rpm,Component,ok,,,0
Modelica.Blocks.Math.Variance,Component,ok,,,0
Modelica.Blocks.Math.WrapAngle,Component,ok,,,0
Modelica.Blocks.MathBoolean.And,Component,ok,,,0
Modelica.Blocks.MathBoolean.ChangingEdge,Component,ok,,,0
Modelica.Blocks.MathBoolean.FallingEdge,Component,ok,,,0
Modelica.Blocks.MathBoolean.MultiSwitch,Component,ok,,,0
Modelica.Blocks.MathBoolean.Nand,Component,ok,,,0
Modelica.Blocks.MathBoolean.Nor,Component,ok,,,0
Modelica.Blocks.MathBoolean.Not,Component,ok,,,0
Modelica.Blocks.MathBoolean.OnDelay,Component,ok,,,0
Modelica.Blocks.MathBoolean.Or,Component,ok,,,0
Modelica.Blocks.MathBoolean.RisingEdge,Component,ok,,,0
Modelica.Blocks.MathBoolean.Xor,Component,ok,,,0
Modelica.Blocks.MathInteger.MultiSwitch,Component,ok,,,0
Modelica.Blocks.MathInteger.Product,Component,ok,,,0
Modelica.Blocks.MathInteger.Sum,Component,ok,,,0
Modelica.Blocks.MathInteger.TriggeredAdd,Component,ok,,,0
Modelica.Blocks.Noise.BandLimitedWhiteNoise,Component,ok,,,0
Modelica.Blocks.Noise.GlobalSeed,Component,ok,,,0
Modelica.Blocks.Noise.NormalNoise,Component,ok,,,0
Modelica.Blocks.Noise.TruncatedNormalNoise,Component,ok,,,0
Modelica.Blocks.Noise.UniformNoise,Component,ok,,,0
Modelica.Blocks.Nonlinear.DeadZone,Component,ok,,,0
Modelica.Blocks.Nonlinear.FixedDelay,Component,ok,,,0
Modelica.Blocks.Nonlinear.Limiter,Component,ok,,,0
Modelica.Blocks.Nonlinear.PadeDelay,Component,ok,,,0
Modelica.Blocks.Nonlinear.SlewRateLimiter,Component,ok,,,0
Modelica.Blocks.Nonlinear.VariableDelay,Component,ok,,,0
Modelica.Blocks.Nonlinear.VariableLimiter,Component,ok,,,0
Modelica.Blocks.Routing.BooleanPassThrough,Component,ok,,,0
Modelica.Blocks.Routing.BooleanReplicator,Component,ok,,,0
Modelica.Blocks.Routing.DeMultiplex,Component,ok,,,0
Modelica.Blocks.Routing.DeMultiplex2,Component,ok,,,0
Modelica.Blocks.Routing.DeMultiplex3,Component,ok,,,0
Modelica.Blocks.Routing.DeMultiplex4,Component,ok,,,0
Modelica.Blocks.Routing.DeMultiplex5,Component,ok,,,0
Modelica.Blocks.Routing.DeMultiplex6,Component,ok,,,0
Modelica.Blocks.Routing.ExtractSignal,Component,ok,,,0
Modelica.Blocks.Routing.Extractor,Component,ok,,,0
Modelica.Blocks.Routing.IntegerPassThrough,Component,ok,,,0
Modelica.Blocks.Routing.IntegerReplicator,Component,ok,,,0
Modelica.Blocks.Routing.Multiplex,Component,ok,,,0
Modelica.Blocks.Routing.Multiplex2,Component,ok,,,0
Modelica.Blocks.Routing.Multiplex3,Component,ok,,,0
Modelica.Blocks.Routing.Multiplex4,Component,ok,,,0
Modelica.Blocks.Routing.Multiplex5,Component,ok,,,0
Modelica.Blocks.Routing.Multiplex6,Component,ok,,,0
Modelica.Blocks.Routing.RealPassThrough,Component,ok,,,0
Modelica.Blocks.Routing.Replicator,Component,ok,,,0
Modelica.Blocks.Sources.BooleanConstant,Component,ok,,,0
Modelica.Blocks.Sources.BooleanExpression,Component,ok,,,0
Modelica.Blocks.Sources.BooleanPulse,Component,ok,,,0
Modelica.Blocks.Sources.BooleanStep,Component,ok,,,0
Modelica.Blocks.Sources.BooleanTable,Component,ok,,,0
Modelica.Blocks.Sources.CombiTimeTable,Component,ok,,,0
Modelica.Blocks.Sources.Constant,Component,ok,,,0
Modelica.Blocks.Sources.ContinuousClock,Component,ok,,,0
Modelica.Blocks.Sources.Cosine,Component,ok,,,0
Modelica.Blocks.Sources.CosineVariableFrequencyAndAmplitude,Component,ok,,,0
Modelica.Blocks.Sources.ExpSine,Component,ok,,,0
Modelica.Blocks.Sources.Exponentials,Component,ok,,,0
Modelica.Blocks.Sources.IntegerConstant,Component,ok,,,0
Modelica.Blocks.Sources.IntegerExpression,Component,ok,,,0
Modelica.Blocks.Sources.IntegerStep,Component,ok,,,0
Modelica.Blocks.Sources.IntegerTable,Component,ok,,,0
Modelica.Blocks.Sources.KinematicPTP,Component,ok,,,0
Modelica.Blocks.Sources.KinematicPTP2,Component,ok,,,0
Modelica.Blocks.Sources.LogFrequencySweep,Component,ok,,,0
Modelica.Blocks.Sources.Pulse,Component,ok,,,0
Modelica.Blocks.Sources.RadioButtonSource,Component,ok,,,0
Modelica.Blocks.Sources.Ramp,Component,ok,,,0
Modelica.Blocks.Sources.RealExpression,Component,ok,,,0
Modelica.Blocks.Sources.SampleTrigger,Component,ok,,,0
Modelica.Blocks.Sources.SawTooth,Component,ok,,,0
Modelica.Blocks.Sources.Sinc,Component,ok,,,0
Modelica.Blocks.Sources.Sine,Component,ok,,,0
Modelica.Blocks.Sources.SineVariableFrequencyAndAmplitude,Component,ok,,,0
Modelica.Blocks.Sources.Step,Component,ok,,,0
Modelica.Blocks.Sources.TimeTable,Component,ok,,,0
Modelica.Blocks.Sources.Trapezoid,Component,ok,,,0
Modelica.Blocks.Tables.CombiTable1Ds,Component,ok,,,0
Modelica.Blocks.Tables.CombiTable1Dv,Component,ok,,,0
Modelica.Blocks.Tables.CombiTable2Ds,Component,ok,,,0
Modelica.Blocks.Tables.CombiTable2Dv,Component,ok,,,0
Modelica.Blocks.Tables.Internal.CombiTable2DBase,Internal,ok,,,0
Modelica.Blocks.Types.ExternalCombiTable1D,Types,ok,,,0
Modelica.Blocks.Types.ExternalCombiTable2D,Types,ok,,,0
Modelica.Blocks.Types.ExternalCombiTimeTable,Types,ok,,,0
Modelica.Clocked.BooleanSignals.Interfaces.PartialClockedSISO,Interfaces,ok,,,0
Modelica.Clocked.BooleanSignals.Interfaces.PartialClockedSO,Interfaces,ok,,,0
Modelica.Clocked.BooleanSignals.Interfaces.PartialSISOSampler,Interfaces,ok,,,0
Modelica.Clocked.BooleanSignals.Interfaces.SamplerIcon,Interfaces,ok,,,0
Modelica.Clocked.BooleanSignals.NonPeriodic.BooleanChange,Component,ok,,,0
Modelica.Clocked.BooleanSignals.NonPeriodic.ClockToBoolean,Component,ok,,,0
Modelica.Clocked.BooleanSignals.NonPeriodic.FractionalDelay,Component,ok,,,0
Modelica.Clocked.BooleanSignals.NonPeriodic.UnitDelay,Component,ok,,,0
Modelica.Clocked.BooleanSignals.Sampler.AssignClock,Component,ok,,,0
Modelica.Clocked.BooleanSignals.Sampler.AssignClockVectorized,Component,ok,,,0
Modelica.Clocked.BooleanSignals.Sampler.BackSample,Component,ok,,,0
Modelica.Clocked.BooleanSignals.Sampler.Hold,Component,ok,,,0
Modelica.Clocked.BooleanSignals.Sampler.Sample,Component,ok,,,0
Modelica.Clocked.BooleanSignals.Sampler.SampleClocked,Component,ok,,,0
Modelica.Clocked.BooleanSignals.Sampler.SampleVectorizedAndClocked,Component,ok,,,0
Modelica.Clocked.BooleanSignals.Sampler.ShiftSample,Component,ok,,,0
Modelica.Clocked.BooleanSignals.Sampler.SubSample,Component,ok,,,0
Modelica.Clocked.BooleanSignals.Sampler.SuperSample,Component,ok,,,0
Modelica.Clocked.BooleanSignals.Sampler.Utilities.AssignClockToSquareWaveHold,Component,ok,,,0
Modelica.Clocked.BooleanSignals.Sampler.Utilities.AssignClockToTriggerHold,Component,ok,,,0
Modelica.Clocked.BooleanSignals.Sampler.Utilities.UpSample,Component,ok,,,0
Modelica.Clocked.BooleanSignals.TickBasedSources.Pulse,Component,ok,,,0
Modelica.Clocked.BooleanSignals.TickBasedSources.Step,Component,ok,,,0
Modelica.Clocked.BooleanSignals.TimeBasedSources.Pulse,Component,ok,,,0
Modelica.Clocked.BooleanSignals.TimeBasedSources.Step,Component,ok,,,0
Modelica.Clocked.ClockSignals.Clocks.EventClock,Component,ok,,,0
