name,kind,outcome,message,secs,n_equations,n_states,n_algebraic,n_discrete,n_parameters,structural,n_blocks,n_coupled,largest_coupled,has_arrays,max_depth,n_functions
Modelica.Blocks.Continuous.CriticalDamping,Component,success,,1.001,3,1,0,0,8,ok,3,0,0,false,0,0
Modelica.Blocks.Continuous.Der,Component,success,,0.215,1,0,0,0,0,singular,,,,false,0,0
Modelica.Blocks.Continuous.Derivative,Component,success,,0.212,2,1,0,0,6,ok,2,0,0,false,0,0
Modelica.Blocks.Continuous.Filter,Component,success,,0.272,6,1,1,0,24,ok,6,0,0,false,0,4
Modelica.Blocks.Continuous.FirstOrder,Component,success,,0.221,1,1,0,0,4,ok,1,0,0,false,0,0
Modelica.Blocks.Continuous.Integrator,Component,success,,0.217,2,1,0,1,5,ok,2,0,0,false,0,0
Modelica.Blocks.Continuous.LimIntegrator,Component,success,,0.215,2,1,0,2,10,ok,2,0,0,false,1,0
Modelica.Blocks.Continuous.LimPID,Component,success,,0.261,38,2,21,2,54,ok,38,0,0,false,1,0
Modelica.Blocks.Continuous.LowpassButterworth,Component,failed:ToDae,unresolved reference: Modelica.Constants.pi,0.283,,,,,,,,,,false,0,
Modelica.Blocks.Continuous.PI,Component,success,,0.219,2,1,0,0,5,ok,2,0,0,false,0,0
Modelica.Blocks.Continuous.PID,Component,success,,0.225,15,2,7,1,24,ok,15,0,0,false,1,0
Modelica.Blocks.Continuous.SecondOrder,Component,success,,0.214,2,2,0,0,6,ok,2,0,0,false,0,0
Modelica.Blocks.Continuous.StateSpace,Component,success,,0.565,2,1,0,0,11,singular,,,,false,0,0
Modelica.Blocks.Continuous.TransferFunction,Component,failed:Typecheck,subscript 1 for `x_scaled` is out of bounds for dimension of size 0 (MLS §10.5.1),0.420,,,,,,,,,,false,0,
Modelica.Blocks.Discrete.FirstOrderHold,Component,success,,0.219,1,0,0,7,10,ok,1,0,0,false,1,0
Modelica.Blocks.Discrete.Sampler,Component,success,,0.214,0,0,0,4,7,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Discrete.StateSpace,Component,success,,0.418,0,0,0,5,14,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Discrete.TransferFunction,Component,success,,0.338,0,0,0,7,14,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Discrete.TriggeredMax,Component,success,,0.232,0,0,0,1,2,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Discrete.TriggeredSampler,Component,success,,0.221,0,0,0,1,3,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Discrete.UnitDelay,Component,success,,0.248,0,0,0,4,9,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Discrete.ZeroOrderHold,Component,success,,0.233,1,0,0,4,7,ok,1,0,0,false,1,0
