name,peak_ws_mb,secs,verdict
Modelica.Blocks.Continuous.CriticalDamping,1345,5.9,ok
Modelica.Blocks.Continuous.Der,1236,4.9,ok
Modelica.Blocks.Continuous.Derivative,1324,6.7,ok
Modelica.Blocks.Continuous.Filter,1355,7.4,ok
Modelica.Blocks.Continuous.FirstOrder,1329,6.7,ok
Modelica.Blocks.Continuous.Integrator,1322,6.7,ok
Modelica.Blocks.Continuous.LimIntegrator,1327,7.3,ok
Modelica.Blocks.Continuous.LimPID,1355,7.3,ok
Modelica.Blocks.Continuous.LowpassButterworth,1338,7.4,ok
Modelica.Blocks.Continuous.PI,1324,6.7,ok
Modelica.Blocks.Continuous.PID,1335,7.3,ok
Modelica.Blocks.Continuous.SecondOrder,1343,6.8,ok
Modelica.Blocks.Continuous.StateSpace,1338,10.5,ok
Modelica.Blocks.Continuous.TransferFunction,1333,8.6,ok
Modelica.Blocks.Discrete.FirstOrderHold,1269,6.2,ok
Modelica.Blocks.Discrete.Sampler,1215,6.1,ok
Modelica.Blocks.Discrete.StateSpace,1310,7.4,ok
Modelica.Blocks.Discrete.TransferFunction,1273,6.8,ok
Modelica.Blocks.Discrete.TriggeredMax,1271,6.2,ok
Modelica.Blocks.Discrete.TriggeredSampler,1208,6.7,ok
Modelica.Blocks.Discrete.UnitDelay,1183,6.1,ok
Modelica.Blocks.Discrete.ZeroOrderHold,1294,6.1,ok
Modelica.Blocks.Examples.BooleanNetwork1,1385,8.6,ok
Modelica.Blocks.Examples.BusUsage,1316,6.7,ok
Modelica.Blocks.Examples.BusUsage_Utilities.Part,1298,6.9,ok
Modelica.Blocks.Examples.CompareSincExpSine,1313,6.7,ok
Modelica.Blocks.Examples.DemoSignalCharacteristic,1361,9.1,ok
Modelica.Blocks.Examples.DemonstrateContinuousSignalExtrema,1337,7.4,ok
Modelica.Blocks.Examples.DemonstrateSignalExtrema,1290,6.7,ok
Modelica.Blocks.Examples.Filter,1416,8.6,ok
