name,kind,outcome,message,package,compile_cost,n_equations,n_states,n_algebraic,n_discrete,n_parameters,structural,index_reduced,n_blocks,n_coupled,largest_coupled,n_connect_eq,n_flow_eq,n_event_conditions,n_discrete_updates,has_arrays,max_depth,n_functions
Modelica.Blocks.Continuous.CriticalDamping,Component,success,,Blocks,fast,3,1,0,0,8,ok,,3,0,0,0,0,0,0,false,0,0
Modelica.Blocks.Continuous.Der,Component,success,,Blocks,fast,1,0,0,0,0,singular,error:empty system: no equations or unknowns,,,,0,0,0,0,false,0,0
Modelica.Blocks.Continuous.Derivative,Component,success,,Blocks,fast,2,1,0,0,6,ok,,2,0,0,0,0,0,0,false,0,0
Modelica.Blocks.Continuous.Filter,Component,success,,Blocks,fast,6,1,1,0,24,ok,,6,0,0,0,0,1,0,false,0,4
Modelica.Blocks.Continuous.FirstOrder,Component,success,,Blocks,fast,1,1,0,0,4,ok,,1,0,0,0,0,0,0,false,0,0
Modelica.Blocks.Continuous.Integrator,Component,success,,Blocks,fast,2,1,0,1,5,ok,,2,0,0,0,0,0,1,false,0,0
Modelica.Blocks.Continuous.LimIntegrator,Component,success,,Blocks,fast,2,1,0,2,10,ok,,2,0,0,0,0,8,1,false,1,0
Modelica.Blocks.Continuous.LimPID,Component,success,,Blocks,fast,38,2,21,2,54,ok,,38,0,0,21,0,4,1,false,1,0
Modelica.Blocks.Continuous.LowpassButterworth,Component,failed:ToDae,unresolved reference: Modelica.Constants.pi,Blocks,fast,,,,,,,,,,,,,,,false,0,
Modelica.Blocks.Continuous.PI,Component,success,,Blocks,fast,2,1,0,0,5,ok,,2,0,0,0,0,0,0,false,0,0
Modelica.Blocks.Continuous.PID,Component,success,,Blocks,fast,15,2,7,1,24,ok,,15,0,0,8,0,0,1,false,1,0
Modelica.Blocks.Continuous.SecondOrder,Component,success,,Blocks,fast,2,2,0,0,6,ok,,2,0,0,0,0,0,0,false,0,0
Modelica.Blocks.Continuous.StateSpace,Component,success,,Blocks,fast,2,1,0,0,11,singular,singular,,,,0,0,0,0,false,0,0
Modelica.Blocks.Continuous.TransferFunction,Component,failed:Typecheck,subscript 1 for `x_scaled` is out of bounds for dimension of size 0 (MLS §10.5.1),Blocks,fast,,,,,,,,,,,,,,,false,0,
Modelica.Blocks.Discrete.FirstOrderHold,Component,success,,Blocks,fast,1,0,0,7,10,ok,,1,0,0,0,0,3,6,false,1,0
Modelica.Blocks.Discrete.Sampler,Component,success,,Blocks,fast,0,0,0,4,7,error:empty system: no equations or unknowns,,,,,0,0,2,3,false,1,0
Modelica.Blocks.Discrete.StateSpace,Component,success,,Blocks,fast,0,0,0,5,14,error:empty system: no equations or unknowns,,,,,0,0,1,4,false,1,0
Modelica.Blocks.Discrete.TransferFunction,Component,success,,Blocks,fast,0,0,0,7,14,error:empty system: no equations or unknowns,,,,,0,0,1,5,false,1,0
Modelica.Blocks.Discrete.TriggeredMax,Component,success,,Blocks,fast,0,0,0,1,2,error:empty system: no equations or unknowns,,,,,0,0,0,1,false,1,0
Modelica.Blocks.Discrete.TriggeredSampler,Component,success,,Blocks,fast,0,0,0,1,3,error:empty system: no equations or unknowns,,,,,0,0,0,1,false,1,0
Modelica.Blocks.Discrete.UnitDelay,Component,success,,Blocks,fast,0,0,0,4,9,error:empty system: no equations or unknowns,,,,,0,0,1,3,false,1,0
Modelica.Blocks.Discrete.ZeroOrderHold,Component,success,,Blocks,fast,1,0,0,4,7,ok,,1,0,0,0,0,2,3,false,1,0
Modelica.Blocks.Examples.BooleanNetwork1,Examples,success,,Blocks,fast,3,0,2,78,92,ok,,3,0,0,1,0,30,84,false,3,14
Modelica.Blocks.Examples.BusUsage,Examples,success,,Blocks,fast,7,0,4,9,13,ok,,7,0,0,4,0,4,7,false,2,1
Modelica.Blocks.Examples.BusUsage_Utilities.Part,Examples,success,,Blocks,fast,2,0,1,3,1,ok,,2,0,0,1,0,1,2,false,1,0
